Observation Number,Date,log_totVol,log_avgPrice,Series Forecast,Series Residuals,Forecast Standard Errors,Forecast Lower Confidence Limit,Forecast Upper Confidence Limit,Smoothed Series Values,Variance of the Smoothed Series,Smoothed Irregular Values,Variance of the Smoothed Irregular,Level Forecast Values,Variance of the Filtered Level,Smoothed Level Values,Variance of the Smoothed Level,Filtered Season,Variance of the Filtered Season,Smoothed Season,Variance of the Smoothed Season,Smoothed Trend Plus Regression,Variance of Smoothed Trend Plus Regression,Sum of All Smoothed Components Except the Irregular Component,Variance of Sum of All Smoothed Components Except the Irregular Component
65,2016-03-27,13.273422191,0.3965886191,13.392806103,-0.119383912,0.1399216272,13.118564753,13.667047453,13.273422191,0,-0.058730172,0.0029533157,14.435499611,0.1208758082,13.885095296,0.0137241393,0.0940118996,0.0123041052,0.0767624,0.0046695376,13.255389963,0.0036937295,13.332152363,0.0029533157
66,2016-04-03,13.342890116,0.3986200285,13.271153459,0.0717366568,0.1397778614,12.997193885,13.545113033,13.342890116,0,-0.005133217,0.0029350611,14.380314098,0.11837515,13.8963283,0.0133658615,0.0158758543,0.0121350004,0.0846258475,0.0045281469,13.263397485,0.0036333349,13.348023333,0.0029350611
67,2016-04-10,13.556751668,0.3293037471,13.718168215,-0.161416546,0.1432631741,13.437377553,13.998958876,13.556751668,0,-0.009878732,0.0029713233,14.410545919,0.1165879316,13.90905646,0.0128788499,0.243554681,0.0136309652,0.1804440273,0.0046263206,13.386186373,0.0040175506,13.5666304,0.0029713233
68,2016-04-17,13.371730404,0.3998680786,13.241129248,0.1306011562,0.142608051,12.961622604,13.520635892,13.371730404,0,-0.055498056,0.0029333585,14.281410545,0.1051346521,13.924662004,0.01276612,0.0189764251,0.0133580271,0.1374789307,0.0044325979,13.289749529,0.0035590535,13.42722846,0.0029333585
69,2016-04-24,13.760303097,0.3844710737,13.557982758,0.2023203398,0.1399415001,13.283702458,13.832263058,13.760303097,0,0.1260718202,0.0029362586,14.261179946,0.1063293924,13.956432501,0.0125429407,0.2617195989,0.0133328731,0.288263812,0.0043932392,13.345967465,0.0035779681,13.634231277,0.0029362586
70,2016-05-01,13.652294032,0.3717239285,13.593825639,0.0584683931,0.1428759249,13.313793972,13.873857306,13.652294032,0,0.0230389492,0.0029333282,14.289247912,0.1076352149,13.951481981,0.0124714159,0.2092929701,0.0170656655,0.2679981587,0.0044258622,13.361256924,0.003614658,13.629255083,0.0029333282
71,2016-05-08,13.486072583,0.3625414234,13.550627652,-0.064555069,0.1399395712,13.276351133,13.824904172,13.486072583,0,-0.058768443,0.0029298697,14.278571276,0.1086372633,13.939820893,0.0125155577,0.1314149912,0.0161879377,0.1806651638,0.0044898884,13.364175862,0.0036619595,13.544841026,0.0029298697
72,2016-05-15,13.382329137,0.4213079374,13.350201234,0.0321279035,0.1432075145,13.069519663,13.630882804,13.382329137,0,-0.035933534,0.0029596222,14.270045281,0.1099784,13.945277324,0.0126096301,0.0889527041,0.0141330574,0.1419401336,0.004378579,13.276322538,0.003504435,13.418262671,0.0029596222
73,2016-05-22,13.536142032,0.3863692078,13.498836161,0.0373058712,0.1475062662,13.209729192,13.78794313,13.536142032,0,0.0526513342,0.0029437933,14.263187432,0.1107267099,13.961200139,0.0124011893,0.1470423076,0.0114367828,0.1357694614,0.0043593221,13.347721236,0.0035456626,13.483490698,0.0029437933
74,2016-05-29,13.469829968,0.4165660547,13.422554058,0.0472759104,0.1395805362,13.148981234,13.696126882,13.469829968,0,0.0123581521,0.0029318512,14.299251906,0.0920753035,13.961787167,0.012407036,0.1294262454,0.0117936472,0.157110252,0.004356867,13.300361564,0.0035072869,13.457471816,0.0029318512
75,2016-06-05,13.390189193,0.3929844469,13.43344274,-0.043253547,0.1426600635,13.153834153,13.713051326,13.390189193,0,-0.045503981,0.0029371793,14.310755623,0.0926044581,13.958774628,0.0123256985,0.069574985,0.0113699716,0.1009011573,0.0043637962,13.334792017,0.0035329043,13.435693174,0.0029371793
76,2016-06-12,13.349389781,0.4254197226,13.379296263,-0.029906482,0.140250732,13.104409879,13.654182647,13.349389781,0,-0.036664052,0.00293458,14.280199428,0.0841303184,13.969016062,0.0124024685,0.106630839,0.0114691981,0.0925212697,0.0043696682,13.293532562,0.0035277627,13.386053832,0.00293458
77,2016-06-19,13.452772082,0.401737238,13.423428512,0.0293435706,0.1425482827,13.144039011,13.702818012,13.452772082,0,-0.016459848,0.0029449667,14.265437989,0.0810208266,13.989936657,0.0123544375,0.1038522371,0.0115669027,0.1171756089,0.0043830986,13.352056321,0.003539176,13.46923193,0.0029449667
78,2016-06-26,13.386397969,0.4293633043,13.361244084,0.0251538853,0.1401493294,13.086556446,13.635931722,13.386397969,0,-0.008239266,0.0029330309,14.285110329,0.0735706281,14.015651522,0.0125276167,0.0985428847,0.0113134596,0.0607308511,0.004419022,13.333906384,0.0035553701,13.394637235,0.0029330309
79,2016-07-03,13.444968639,0.4127255092,13.434937095,0.0100315437,0.1407654831,13.159041818,13.710832372,13.444968639,0,-0.029006377,0.0029856632,14.288081488,0.0749793128,14.043766243,0.0128150155,0.1252100185,0.0115870217,0.0855363384,0.0044396389,13.388438677,0.0035692507,13.473975015,0.0029856632
80,2016-07-10,13.42476731,0.4621238278,13.204489799,0.2202775102,0.1409722079,12.928189349,13.48079025,13.42476731,0,0.033502777,0.0029324494,14.293456294,0.070973746,14.080329669,0.0135413954,0.0092208323,0.0114697273,0.0446973191,0.004483459,13.346567213,0.0036122343,13.391264533,0.0029324494
81,2016-07-17,13.414350102,0.5196240135,13.216481611,0.1978684902,0.1541945978,12.914265753,13.51869747,13.414350102,0,0.063215376,0.0029993281,14.300569417,0.0726357542,14.107134721,0.0144061103,0.0785531249,0.0113074265,0.0690615341,0.0044900038,13.282073191,0.0038102361,13.351134726,0.0029993281
82,2016-07-24,13.274016856,0.5566879179,13.18000048,0.0940163765,0.1447217561,12.89635105,13.463649909,13.274016856,0,0.0117160999,0.0030585555,14.210330616,0.069373424,14.115526991,0.0147863011,0.0310166735,0.0116973898,0.0306855418,0.0045737743,13.231615214,0.0040732105,13.262300756,0.0030585555
83,2016-07-31,13.318181314,0.4925669203,13.403692784,-0.08551147,0.14609592,13.117350042,13.690035525,13.318181314,0,-0.00338477,0.0029300237,14.193399341,0.0703768889,14.120506706,0.0144745863,0.1025978195,0.0143743949,-0.016840476,0.0045899159,13.33840656,0.0037239873,13.321566084,0.0029300237
84,2016-08-07,13.392026189,0.489293129,13.399087139,-0.00706095,0.1404797002,13.123751986,13.674422292,13.392026189,0,0.0238990466,0.0029308135,14.127207018,0.0592704404,14.126472304,0.0142256626,0.1132245263,0.0128249737,0.018556842,0.0046393239,13.3495703,0.0037639366,13.368127142,0.0029308135
85,2016-08-14,13.416421445,0.5266531927,13.385862805,0.0305586404,0.1396124675,13.112227396,13.659498213,13.416421445,0,0.0639719049,0.0029421335,14.123782802,0.0563120483,14.125476813,0.0140575551,0.1660384742,0.0127392792,0.0631952217,0.0047862733,13.289254318,0.0040492563,13.35244954,0.0029421335
86,2016-08-21,13.374363582,0.5160214046,13.417265944,-0.042902363,0.1394815715,13.143887088,13.690644801,13.374363582,0,-0.010732092,0.0029294936,14.13021763,0.0571304996,14.105848185,0.0136825934,0.1697558516,0.0123943789,0.0985887778,0.0049152345,13.286506895,0.0040674132,13.385095673,0.0029294936
87,2016-08-28,13.284730461,0.4969625318,13.403433609,-0.118703148,0.1396754767,13.129674705,13.677192513,13.284730461,0,-0.079746907,0.0029336665,14.119886065,0.0576849854,14.0893455,0.0132969521,0.1362281047,0.0116158372,0.0642113866,0.004957122,13.300265981,0.0040252877,13.364477368,0.0029336665
88,2016-09-04,13.426713936,0.4794069535,13.327461744,0.0992521915,0.1424313863,13.048301357,13.606622131,13.426713936,0,0.0013071098,0.0029672024,14.097089089,0.0586481508,14.096070746,0.0130262124,0.0659204337,0.0133071423,0.090540766,0.0050584272,13.33486606,0.0039839308,13.425406826,0.0029672024
89,2016-09-11,13.502894084,0.455657021,13.373244811,0.1296492732,0.1455255053,13.088020062,13.65846956,13.502894084,0,0.0326911326,0.0030581888,14.157030287,0.0529317285,14.10241527,0.0130869459,0.0428843328,0.0142042679,0.0912821107,0.00508493,13.378920841,0.0038907531,13.470202952,0.0030581888
90,2016-09-18,13.249952293,0.5277513397,13.200558284,0.0493940099,0.1399891279,12.926184635,13.474931933,13.249952293,0,-0.008853412,0.002950342,14.245768026,0.0446934748,14.099237826,0.0137703511,-0.021895307,0.0131769766,-0.002465984,0.0052952618,13.261271689,0.0042630601,13.258805705,0.002950342
91,2016-09-25,13.127806477,0.5819557446,13.090217464,0.0375890131,0.142901962,12.810134765,13.370300163,13.127806477,0,-0.027068135,0.0029932286,14.25382635,0.0458546155,14.098639122,0.0145887783,-0.044331185,0.0133956785,-0.019732355,0.0054569938,13.174606967,0.0046674813,13.154874612,0.0029932286
92,2016-10-02,13.132265192,0.6203263939,13.06971495,0.0625502427,0.1472717622,12.7810676,13.358362299,13.132265192,0,0.0121469992,0.0031292603,14.253162268,0.0475309726,14.10592457,0.0151954383,-0.007171189,0.0125694844,-0.000849119,0.0056201193,13.120967312,0.0050302236,13.120118193,0.0031292603
93,2016-10-09,13.21853733,0.5065373726,13.142129611,0.0764077188,0.1393380501,12.869032051,13.415227171,13.21853733,0,0.0391135538,0.0036442413,14.242684625,0.048605137,14.109671954,0.0154034741,-0.171576302,0.0116401242,-0.125965681,0.0060152654,13.305389457,0.00395937,13.179423776,0.0036442413
94,2016-10-16,13.145159774,0.4898632545,13.221935644,-0.07677587,0.1405980615,12.946368507,13.497502781,13.145159774,0,-0.005757347,0.0036937902,14.267657119,0.048213963,14.102026709,0.0157132487,-0.14479862,0.0121148092,-0.173302336,0.006074016,13.324219457,0.0039536576,13.150917121,0.0036937902
